max_timestep,duration,makespan,mean_waiting_time
8000,50.412076364,2214.684015,943.594821
9000,46.998264410,2215.041015,966.799146
10000,34.202666548,2214.181015,975.349441
20000,30.976517304,2213.988015,959.243041
30000,41.954374408,2215.289015,954.322642
40000,31.232341674,2214.393015,972.814552
50000,34.764445237,2215.807030,962.613882
60000,30.675655130,2215.720015,981.696116
70000,34.830576209,2214.448015,952.926356
80000,28.071233843,2214.417015,963.577376
90000,28.455259471,2214.007015,954.933491
100000,30.270165619,2214.577015,964.723396
200000,36.618409754,2299.636015,1007.446406
300000,36.843478559,2214.533015,965.093367
400000,29.231538280,2214.804015,981.481781
500000,34.289136518,2215.048015,971.510226
600000,34.448240883,2214.676015,963.005516
700000,33.207479158,2214.021045,956.142856
800000,32.766599442,2219.274015,999.685956
900000,26.892975467,2214.342030,951.602691
1000000,34.046430885,2215.120030,970.735991
2000000,33.127890709,2214.389015,975.543521
3000000,32.212553390,2214.814015,980.078311
4000000,26.258972338,2214.068015,964.168661
5000000,32.485826038,2214.272015,960.408356
6000000,29.113933012,2213.987015,958.674687
7000000,33.850622149,2214.549015,965.524136
8000000,39.989848197,2214.512015,952.611112
9000000,29.770836443,2214.167015,962.779026
100,729.811283861,2217.901015,974.624071
200,444.667359849,2216.561015,973.010461
300,324.816599352,2217.331015,979.407987
400,257.654855560,2217.206015,951.108821
500,213.764406551,2214.982015,969.605386
600,183.481538741,2215.265015,967.619121
700,152.154381135,2077.198015,938.837667
800,152.851068166,2218.725015,988.429882
900,134.842856688,2214.919015,944.536581
1000,125.613184823,2214.621015,961.766761
2000,82.190838257,2214.787015,957.882602
3000,57.104402080,2214.677015,981.441261
4000,56.611694638,2217.417015,1006.604571
5000,45.492916283,2213.861015,978.050472
6000,44.512598792,2214.509015,959.388441
7000,41.755632956,2214.493030,945.838121
8000,37.945926957,2214.501030,981.457126
9000,35.726996082,2214.175015,962.630581
10000,47.584793381,2219.967015,996.669136
20000,34.855935234,2214.595015,970.588886
30000,29.012893971,2213.967030,967.707561
40000,31.829343294,2214.943015,971.400566
50000,33.007302610,2214.704015,969.668961
60000,28.673563349,2214.657015,981.407361
70000,35.234556463,2214.531015,963.182956
80000,32.562845356,2214.255015,965.298132
90000,29.441396949,2215.094015,973.067072
100000,31.687385580,2214.206015,962.060181
200000,29.116246583,2214.184015,963.495227
300000,32.268396033,2215.144015,980.873281
400000,33.277584323,2214.792015,968.058556
500000,33.262969413,2215.274015,953.775782
600000,32.288812714,2214.707015,963.112611
700000,29.789955457,2214.442015,947.485111
800000,39.350701739,2214.213015,949.620041
900000,32.202089843,2214.506030,972.317016
1000000,33.990390483,2214.172015,954.575716
2000000,27.178585383,2214.333015,973.556196
3000000,28.238472221,2214.395015,970.418297
4000000,31.573132261,2214.074015,944.903711
5000000,30.275722952,2215.077015,978.253196
6000000,31.345206264,2214.680015,967.027281
7000000,33.639490668,2214.893015,971.395537
8000000,36.912125890,2214.448015,944.829761
9000000,33.818822640,2215.414015,971.353866
100,733.236102107,2218.028015,969.333006
200,451.294896437,2216.598015,964.886316
300,327.093674445,2216.687015,969.119216
400,260.239030026,2217.232015,963.514282
500,221.299969660,2218.204015,963.447537
600,195.445360735,2219.685015,966.438576
700,162.526661478,2215.614030,981.188132
800,154.063392310,2214.894015,956.864721
900,139.598032565,2214.746015,959.577266
1000,125.962846377,2216.315015,976.219746
2000,85.073760718,2216.083015,953.691852
3000,65.232177213,2214.751015,965.799256
4000,59.431670711,2214.533015,949.318887
5000,51.077374701,2214.342015,959.578456
6000,47.515736735,2215.468015,982.169486
7000,46.720293413,2215.115015,966.005816
8000,43.420232380,2214.264015,945.740587
9000,37.176564366,2215.025030,973.060061
10000,39.920183401,2215.124015,981.679961
20000,31.677160027,2214.535015,963.594147
30000,32.381610946,2215.352015,958.113711
40000,40.880890100,2215.751030,961.873862
50000,30.473437223,2215.327015,965.655866
60000,32.068087371,2215.502015,975.827140
70000,29.785570978,2214.916015,981.623751
80000,32.504985488,2214.973015,959.660361
90000,38.054040625,2219.622015,975.016007
100000,30.510864107,2214.841015,969.517211
200000,33.460670724,2215.274045,972.678151
300000,42.204713126,2216.609015,963.484677
400000,28.280938760,2215.188015,965.382702
500000,33.653284285,2216.029015,982.121052
600000,38.487132866,2216.436015,974.250647
700000,40.861535699,2217.082015,975.708252
